"filename", "language", "C", "Verilog", "Assembly", "comment", "blank", "total"
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/CPUSystem.v", "Verilog", 0, -1041, 0, -149, -195, -1385
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/TestBench_Project2.v", "Verilog", 0, -15, 0, 0, -2, -17
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/assembly_programs/addition.asm", "Assembly", 0, 0, -32, 0, -5, -37
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/assembly_programs/arithmetic_test.asm", "Assembly", 0, 0, -48, 0, -12, -60
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/assembly_programs/assignment.asm", "Assembly", 0, 0, -23, 0, -2, -25
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/assembly_programs/inc_dec_test.asm", "Assembly", 0, 0, -14, 0, -2, -16
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/assembly_programs/jump_test.asm", "Assembly", 0, 0, -8, 0, -1, -9
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/assembly_programs/search_insert_position.asm", "Assembly", 0, 0, -72, 0, -6, -78
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/assembly_programs/stack_test.asm", "Assembly", 0, 0, -48, 0, -1, -49
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/Project2/assembly_programs/swap.asm", "Assembly", 0, 0, -24, 0, -1, -25
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/assembler/assembler.c", "C", 330, 0, 0, 20, 37, 387
"Total", "-", 330, -1056, -269, -129, -190, -1314
